"id","nome","regiao","uf"
"5d817631-9ca4-4c31-ba09-e0e25921bd7d","JANDAÍRA","NORDESTE","BA"
"31312d7c-4bf3-4a5e-8e22-8c651b585099","IBIAPINA","NORDESTE","CE"
"aeba6af7-dc9d-4f2b-945e-0491c02ef141","JAQUIRANA","SUL","RS"
"d66d3245-61b3-4dc0-8068-dcdab26c6e25","JOCA MARQUES","NORDESTE","PI"
"c6f6e470-c307-417c-bc45-1f5d488cc7d6","ANDRELÂNDIA","SUDESTE","MG"
"1e43f3bc-bbd2-4c08-8252-d0aab803fb14","POÇÃO","NORDESTE","PE"
"97d79c65-7a32-4149-baf6-683011b55180","AREIA BRANCA","NORDESTE","RN"
"7e895a8e-5fed-4b10-8e31-65f814e49580","MIRAÍMA","NORDESTE","CE"
"637091d0-8077-40fb-ac54-d3b05bd1945c","SERRA GRANDE","NORDESTE","PB"
"18807253-dbb5-4eb9-9afc-bd77967b8352","URUCURITUBA","NORTE","AM"
"b7e4366e-0f57-4a24-bb4f-d962a8ea7c74","PORTO GRANDE","NORTE","AP"
"d804e4af-59e8-4ffc-9aea-ae1ef930f357","SÃO VALÉRIO","NORTE","TO"
"94a0c437-4682-4bde-bf3a-4b406985d3f5","SÃO JOÃO DAS MISSÕES","SUDESTE","MG"
"dbb9c332-1f0e-4926-b8be-82c59fc5babd","SÃO JOÃO DA LAGOA","SUDESTE","MG"
"29384e02-177f-4368-82d0-563dda9129f3","BOA VENTURA","NORDESTE","PB"
"48434431-5de5-4a40-8645-6729d9bb2345","MARCOLÂNDIA","NORDESTE","PI"
"4288eaaa-ee48-4eab-a0be-85ed8e510dd2","MATURÉIA","NORDESTE","PB"
"c40cf657-16da-40f6-88dd-121a0f9f03de","VILA BELA DA SANTÍSSIMA TRINDADE","CENTRO_OESTE","MT"
"4072a42d-5118-44d5-8c08-9f6f67b392c6","ITAPICURU","NORDESTE","BA"
"265d6e44-def7-42a3-a09d-e0b422d6822f","FRANCISCO DUMONT","SUDESTE","MG"
"5391212a-aa95-4080-8c3f-9d19aca45ac4","SÃO JOÃO DO CARIRI","NORDESTE","PB"
"86072851-1cff-4543-8f9e-c594e40336f9","DIRCEU ARCOVERDE","NORDESTE","PI"
"eda37e9a-8589-4fb3-b840-f1309dd2a8ea","ANANÁS","NORTE","TO"
"912a5bc1-ad30-47bf-a889-45de43c891dd","MINDURI","SUDESTE","MG"
"cf36371d-f1fe-48a7-a0b1-6eef6bb4c67e","BARRO PRETO","NORDESTE","BA"
"9e96d72a-7028-4a9e-8b98-857684ef298a","BURITI BRAVO","NORDESTE","MA"
"89421bd4-c3f7-42d7-a898-59fdf22c71e4","IBITIARA","NORDESTE","BA"
"4f2e3202-885f-416f-b2c1-3f2dba6b2b7b","OURO VELHO","NORDESTE","PB"
"ba5d2e63-e07c-4e22-b84b-f4e518c786e4","NOVO JARDIM","NORTE","TO"
"eb5e5db3-5861-4095-91ec-667ebedb0f25","OLHOS-D'ÁGUA","SUDESTE","MG"
"264a8ee7-b19e-4875-9b3a-eff183517c6a","BARREIRA","NORDESTE","CE"
"48cdca53-e185-42e9-9d7d-78d20391cfe4","JAGUARIBE","NORDESTE","CE"
"319baffd-03ac-4918-b45a-b69f1010558b","HIDROLÂNDIA","NORDESTE","CE"
"876d01fd-5911-4c0b-807c-9a3932ba94fc","CATOLÂNDIA","NORDESTE","BA"
"590f0513-092e-41f3-91c8-ee80cf5a3062","CAJUEIRO DA PRAIA","NORDESTE","PI"
"93432d5d-9ad7-48a1-acdb-604dcb1df738","ITAMBACURI","SUDESTE","MG"
"f62389a8-a4ec-4aa4-8c2d-d3769b65dc91","CAMPESTRE","NORDESTE","AL"
"ca78f4b1-0339-43e7-bf0a-910620fe6887","SÃO JOÃO D'ALIANÇA","CENTRO_OESTE","GO"
"97fdd7f1-4581-4cf4-aa56-16b5e6d0ec8f","SÃO JOSÉ DO DIVINO","NORDESTE","PI"
"e03f80bb-4356-4a95-8633-ba5e3e20860a","SÍTIO NOVO","NORDESTE","MA"
"f268c9da-271c-4b6a-888e-f6593ffedc6c","PALMÓPOLIS","SUDESTE","MG"
"958ee69d-3ae3-4e41-9337-c0e6ac7d37da","SÃO JOSÉ DOS QUATRO MARCOS","CENTRO_OESTE","MT"
"f48a6eab-5031-4ce0-a514-81cea6c0a96f","PALESTINA","NORDESTE","AL"
"df6c051d-633b-4f07-b36f-b090e35e85eb","BETÂNIA DO PIAUÍ","NORDESTE","PI"
"d7c334dc-0172-4a31-a3f9-8a06d0628ebf","AMAPORÃ","SUL","PR"
"497b1cfb-a123-4428-a671-7011577bb292","ÁGUA BRANCA","NORDESTE","PB"
"3f0367a5-89cd-4a74-b273-c671a3b780d8","SANTA CRUZ DO PIAUÍ","NORDESTE","PI"
"5cef4ee6-cb10-4be6-aefb-f895ca2e8071","SANTA JULIANA","SUDESTE","MG"
"03f92afc-6171-470a-b21b-e6a4d6db7574","PASSAGEM","NORDESTE","RN"
"492f2d37-51fe-4c54-99e3-7e9cd59625ef","CANUTAMA","NORTE","AM"
"4efd99e4-8584-456c-bd94-61ed9a69561c","IPIAÚ","NORDESTE","BA"
"8975ac7b-61d4-460a-8a3e-6647eb777107","SÃO LOURENÇO","SUDESTE","MG"
"31582ced-8f63-4e29-bd27-f5d56c1d1ffb","COLINAS","NORDESTE","MA"
"237f4db3-f8ef-4935-8515-89469c641171","ALAGOINHA","NORDESTE","PE"
"3a375cfb-2335-4432-9f8b-b02efc75e9fc","TESOURO","CENTRO_OESTE","MT"
"e94bb172-fcc0-4734-a403-fd5dec8511f0","LIMOEIRO DE ANADIA","NORDESTE","AL"
"6d21a7ae-d451-4c71-aa0c-341edd192d58","ÁGUA AZUL DO NORTE","NORTE","PA"
"b3f7f7b7-2197-4d3e-ad86-b2d815f00bcc","ANGATUBA","SUDESTE","SP"
"c11e8c89-9c63-477e-8427-66a8d2be68b7","JOANÉSIA","SUDESTE","MG"
"5e604082-e0ee-4aee-ae96-050842e3a026","GOIATINS","NORTE","TO"
"923a5731-e8df-4b53-9276-5bf5fa0c03fb","GALINHOS","NORDESTE","RN"
"e071d729-2c2d-4dba-a1cf-fdd9b52caf91","JEQUITAÍ","SUDESTE","MG"
"66279a53-0b0a-4291-bcee-960a7f7f9a8d","UMBURATIBA","SUDESTE","MG"
"0d0d3b01-35ec-4551-ac09-683754c708ee","COMODORO","CENTRO_OESTE","MT"
"202a44bf-7924-442e-9c50-5b0aaa59d5fb","OLHO D'ÁGUA DAS CUNHÃS","NORDESTE","MA"
"c9e5bba6-d1ab-451b-b6d5-1ceb9af70e6d","PALMITAL","SUDESTE","SP"
"d86f7cd4-6659-45aa-ab4f-11429c9410bf","ALMINO AFONSO","NORDESTE","RN"
"b8011263-b777-4c9a-990d-6a4e5c1a2ac7","DESTERRO","NORDESTE","PB"
"25f32680-c34c-4725-a827-b356eeee87c7","PARNAMIRIM","NORDESTE","PE"
"673a1f5d-4f47-4c6b-80d0-e3a39b7f6294","OIAPOQUE","NORTE","AP"
"8a951ad2-b767-4bb4-922f-ea8e4fcfa77f","ICHU","NORDESTE","BA"
"a64065ea-d3ca-4ec8-bf3c-b32ace019c81","CARMÓPOLIS","NORDESTE","SE"
"183147ac-32f4-4dc3-a5be-6c5291721a89","BATAYPORÃ","CENTRO_OESTE","MS"
"0a361968-191b-4850-839a-944e4ec81fd8","CANABRAVA DO NORTE","CENTRO_OESTE","MT"
"a797fcf7-a58e-45df-b13f-b86f22b943dc","SANTO ANTÔNIO DO LESTE","CENTRO_OESTE","MT"
"640bac5f-237f-4fc3-9ddb-9d29e6b1ef3c","DIANÓPOLIS","NORTE","TO"
"95467f02-71a6-40bd-b459-3e4c1c85439d","BARRA DE SÃO MIGUEL","NORDESTE","PB"
"14db7460-3c66-42ae-858c-f91f5b649616","IBICUITINGA","NORDESTE","CE"
"ffbef653-0e9a-480a-88b8-9d5197f5d226","FONTE BOA","NORTE","AM"
"c3cee08b-78a1-458d-9322-df890d0d3911","MINAS DO LEÃO","SUL","RS"
"f1bf9512-22e1-455f-8195-c8a3ee411c4b","CARLOS CHAGAS","SUDESTE","MG"
"0e3d8368-fd76-407f-b234-b64dddf69fa5","SANTA LUZIA","NORDESTE","BA"
"2d1c44ae-60d2-43e0-a98b-e1109588c127","SÃO JOSÉ DO XINGU","CENTRO_OESTE","MT"
"230be896-a0a1-45bf-824d-4d39e961e606","SÃO MIGUEL DA BAIXA GRANDE","NORDESTE","PI"
"0130d312-a7b5-4270-be08-768ae0dc8514","CAXINGÓ","NORDESTE","PI"
"dc8dd880-bd0e-4ba2-a350-3b28607c7385","PIEDADE DO RIO GRANDE","SUDESTE","MG"
"76191eee-92f2-4ddb-aa39-b0211731eada","CASINHAS","NORDESTE","PE"
"3177208d-74d7-41a8-828e-7cc9cb615291","NAZARENO","SUDESTE","MG"
"b6fae744-0521-45e7-b3ed-b887be541761","PORTO ALEGRE DO NORTE","CENTRO_OESTE","MT"
"a9d1ff42-29ba-4285-bfd4-cd1883ea4207","ALTO DO RODRIGUES","NORDESTE","RN"
"7e8ed2e1-12df-409e-9ce9-6c3b23894c70","CACHOEIRA ALTA","CENTRO_OESTE","GO"
"077323e5-4d47-4dfe-a439-641ae55ea822","IPU","NORDESTE","CE"
"fb4ac29f-0d84-4b13-9d59-5f62ab92483d","ITAPEMIRIM","SUDESTE","ES"
"49fa4f07-4f59-41e7-b290-2d4e58135257","NOVA ERA","SUDESTE","MG"
"09fb3af5-cb0f-4d84-8f98-bc518c75fd19","PEIXE","NORTE","TO"
"c99e0721-cb75-4efa-a892-5406e7a8dd27","SÃO JOSÉ DE PIRANHAS","NORDESTE","PB"
"8995106c-ec58-45a6-967c-006a96eb2e18","BOM JESUS DO ARAGUAIA","CENTRO_OESTE","MT"
"35a3d842-4f31-4821-bbfb-6ebfdd44e6c4","AUGUSTINÓPOLIS","NORTE","TO"
"ae8a37a6-5c69-40c2-8d32-752ed9cfcabd","CORAÇÃO DE JESUS","SUDESTE","MG"
"74eb070a-3cf7-4a9c-8cdf-7ecec369f6c3","CATURITÉ","NORDESTE","PB"
"bafa2fe1-954d-44ed-968e-fa9bc0d4f61a","JAGUARIPE","NORDESTE","BA"
"daa5a5db-ebae-4856-811b-d304d3575692","SÃO JOSÉ DO SABUGI","NORDESTE","PB"
"a21d3863-ad36-4e11-9f52-8e715ff522ba","NOVO ALEGRE","NORTE","TO"
"7260c87a-a17b-48d7-8539-82c52e6bdb27","PASSA QUATRO","SUDESTE","MG"
