"id","bairro","cep","logradouro","numero","texto","tipo_logradouro","fk_municipio"
"1aa47622-52ef-4d00-8366-d36a13602be8","SEM BAIRRO","76980000","RUA 85 01","85","RUA 85 01 - SETOR 85","RUA","0b51c01a-d074-4ba6-9c59-e5694e8e09c3"
"831e8a8c-19ec-484a-84c0-aeaa2462e5a1","SEM BAIRRO","69300000","LOTE TANBAU B. EQUATORIAL","S/N","LOTEAMENTO TANBAU B. EQUATORIAL","LOTE","03e13ed2-0ac1-4487-8db7-e78ce2edc6a9"
"e3de3e55-826d-405d-9991-70ba7de3c6a9","SEM BAIRRO","69300000","LOTE TAMBAU B. EQUATORIAL","S/N","LOTEAMENTO TAMBAU B. EQUATORIAL","LOTE","03e13ed2-0ac1-4487-8db7-e78ce2edc6a9"
"18a6ff68-4992-4343-8126-3cf5ec3c5d06","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","03e13ed2-0ac1-4487-8db7-e78ce2edc6a9"
"d44e078c-6787-4e21-b2a3-c37f827685b1","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","03e13ed2-0ac1-4487-8db7-e78ce2edc6a9"
"fb5a5aea-e40a-42cd-9a03-2c61058db4e9","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","03e13ed2-0ac1-4487-8db7-e78ce2edc6a9"
"f8a929d2-a053-4df0-97d3-5cd47d7e9e19","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","0b51c01a-d074-4ba6-9c59-e5694e8e09c3"
"82257870-db2c-4935-ac6d-6b52686f924f","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","03e13ed2-0ac1-4487-8db7-e78ce2edc6a9"
"046d9df1-3199-4f0f-98e7-d04663bacbaa","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","0b51c01a-d074-4ba6-9c59-e5694e8e09c3"
"b3fa4784-9dc1-42e2-bcd7-ee6f6e96e37c","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","03e13ed2-0ac1-4487-8db7-e78ce2edc6a9"
"642cc832-6927-4c62-80c4-8ce4022c3432","BAIRRO AIRTON ROCHA - BOA VIST","69300000","LOTE PARQUE VIARIO IV","S/N","LOTEAMENTO PARQUE VIARIO IV - BAIRRO AIRTON ROCHA - BOA VIST","LOTE","03e13ed2-0ac1-4487-8db7-e78ce2edc6a9"
"abbf169c-9b84-46b3-815d-830ae434c270","BAIRRO AIRTON DIAS","69300000","LOTE PARQUE VIARIO","S/N","LOTEAMENTO PARQUE VIARIO - BAIRRO AIRTON DIAS","LOTE","03e13ed2-0ac1-4487-8db7-e78ce2edc6a9"
"6f7c614f-f8df-4d1d-8ce1-3a291246d899","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","03e13ed2-0ac1-4487-8db7-e78ce2edc6a9"
"dfada425-9c5c-4680-8aee-7d5bec020de1","BAIRRO NOVA CIDADE","69300000","LOTE PARQUE VIARIO S/N BAIRRO NOVA CIDADE","S/N","LOTEAMENTO PARQUE VIARIO S/N BAIRRO NOVA CIDADE","LOTE","03e13ed2-0ac1-4487-8db7-e78ce2edc6a9"
"25cf9993-501b-488b-a0ae-c2d002653209","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","96208894-bf20-49b6-8c52-33824f0c7da6"
"d8cf468e-3e22-434b-9a6b-3e4bba0d09af","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","96208894-bf20-49b6-8c52-33824f0c7da6"
"92fb2e9a-5550-4544-ba29-05c185c2ffc3","SEM BAIRRO","68909466","AVENIDA. AQUARIQUARA","S/N","AV. AQUARIQUARA, S/N - ROD.AP 070, KM 3","AVENIDA","96208894-bf20-49b6-8c52-33824f0c7da6"
"4afba31c-c3c4-4bc1-8bd0-a748d02633b1","SEM BAIRRO","68904800","RUA 19 DE JULHO N 629","629","RUA 19 DE JULHO N 629","RUA","96208894-bf20-49b6-8c52-33824f0c7da6"
"d52c1048-9df4-423b-af94-7cc1b43119f7","SEM BAIRRO","68908076","RODOVIA NORTE","S/N","RODOVIA NORTE-SUL, KM 4, S/N","RODOVIA","96208894-bf20-49b6-8c52-33824f0c7da6"
"7122ec1f-f0d0-4a53-9372-9bad8d874d9b","SEM BAIRRO","68908076","RODOVIA NORTE/SUL","S/N","RODOVIA NORTE/SUL, KM 4, S/N","RODOVIA","96208894-bf20-49b6-8c52-33824f0c7da6"
"d77513ce-9bd3-4da2-aa17-6ebf8c62fe40","SEM BAIRRO","DESCONHECIDO","RODOVIA PRESIDENTE JUSCELINO KUBITSCHEK DISTRITO FAZENDINHA","S/N","RODOVIA PRESIDENTE JUSCELINO KUBITSCHEK DISTRITO FAZENDINHA","RODOVIA","96208894-bf20-49b6-8c52-33824f0c7da6"
"1682ba49-d0e9-40de-abfb-de1351c23d74","SEM BAIRRO","68906908","RODOVIA PRESIDENTE JUSCELINO KUBITSCHEK DISTRITO F","S/N","RODOVIA PRESIDENTE JUSCELINO KUBITSCHEK DISTRITO F","RODOVIA","96208894-bf20-49b6-8c52-33824f0c7da6"
"2e354a4e-10b5-436e-9e0f-da37cd700608","SEM BAIRRO","69000000","ESTRADA AM 070 KM 07 RAMAL DAS CACACIAS KM01","07","ESTRADA AM 070 KM 07 RAMAL DAS CACACIAS KM01","ESTRADA","94f7fa01-8629-40d4-9272-1b799a5626d8"
"b37d59d0-4ce8-4399-9acb-27a116174fda","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","cccf1c3f-030e-46d5-9d2e-668bccb3357a"
"c6aedd9f-43dc-4e95-89cd-c91c9b1ec3e8","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","cca390c5-fc62-4331-bf9e-628557335d67"
"a648a788-89e5-430d-a8f5-c30ad79992b0","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","cccf1c3f-030e-46d5-9d2e-668bccb3357a"
"6d6d9a8c-40cc-4f03-ad82-2c6bd39a4da7","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","cccf1c3f-030e-46d5-9d2e-668bccb3357a"
"e5a1f561-dfb7-4636-9a6d-7177aa1704a4","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","cccf1c3f-030e-46d5-9d2e-668bccb3357a"
"764bc5b5-4aea-4785-94c9-86e1e881d99f","SEM BAIRRO","69900000","LOTE CIDADE DO POVO QUADRA 22 BR 364","05","LOTEAMENTO CIDADE DO POVO QUADRA 22 BR 364 - KM 05","LOTE","cccf1c3f-030e-46d5-9d2e-668bccb3357a"
"50333b24-62c9-46c6-854a-e693750458b6","SEM BAIRRO","69900000","RODOVIA BR 364","364","RODOVIA BR 364","RODOVIA","cccf1c3f-030e-46d5-9d2e-668bccb3357a"
"62e769e5-7feb-410b-b735-3d722c6ebc77","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","cccf1c3f-030e-46d5-9d2e-668bccb3357a"
"6bd4c854-a198-4151-b66d-abd15355faa4","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","cccf1c3f-030e-46d5-9d2e-668bccb3357a"
"f4b4ef39-d50f-43fe-b37d-d5fa703b6af4","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","cccf1c3f-030e-46d5-9d2e-668bccb3357a"
"9c31529a-1ec6-44b4-adac-1213dc40280f","SEM BAIRRO","69900000","LOTE CIDADE DO POVO QUADRA 16 BR 364 KM 05","05","LOTEAMENTO CIDADE DO POVO QUADRA 16 BR 364 KM 05","LOTE","cccf1c3f-030e-46d5-9d2e-668bccb3357a"
"53897dbd-98e5-498c-a88d-0c1f18d39489","BAIRRO ELDORADO","69900000","ESTRADA DO SAO FRANCISCO","S/N","ESTRADA DO SAO FRANCISCO, BAIRRO ELDORADO","ESTRADA","cccf1c3f-030e-46d5-9d2e-668bccb3357a"
"42f35108-faac-4481-9539-e29aa226379a","BAIRRO PARQUE DOS SABIAS","69900000","ESTRADA JARBAS PASSARINHO","S/N","ESTRADA JARBAS PASSARINHO, SN, BAIRRO PARQUE DOS SABIAS","ESTRADA","cccf1c3f-030e-46d5-9d2e-668bccb3357a"
"f2a50f3a-d838-4677-94e2-dffba0253b85","BAIRRO SAO FRANCISCO","69900000","ESTRADA DO QUIXADA","S/N","ESTRADA DO QUIXADA, SN BAIRRO SAO FRANCISCO","ESTRADA","cccf1c3f-030e-46d5-9d2e-668bccb3357a"
"e1fe011a-fc2b-488f-b99d-549c65e70808","SEM BAIRRO","69900000","ESTRADA DO SAO FRANCISCO/ESTRADA DO PANORAMA","S/N","ESTRADA DO SAO FRANCISCO/ESTRADA DO PANORAMA - ELDORADO","ESTRADA","cccf1c3f-030e-46d5-9d2e-668bccb3357a"
"d95eada1-da2d-453c-964b-86789ec8fbba","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","cccf1c3f-030e-46d5-9d2e-668bccb3357a"
"dfa06e68-6c2c-466a-90f2-1c781756fc94","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","cccf1c3f-030e-46d5-9d2e-668bccb3357a"
"52d97761-8fe1-414f-a61f-57861cb01bf7","SEM BAIRRO","DESCONHECIDO","AVENIDA. TORQUATO TAPAJOS KM 17","17","AV. TORQUATO TAPAJOS KM 17","AVENIDA","2e70a55f-5882-4863-9774-d9c4882f15ab"
"41d06c4b-2297-4268-9748-f4a9facc8a11","SEM BAIRRO","DESCONHECIDO","NÃO IDENTIFICADO","S/N","DESCONHECIDO","DESCONHECIDO","2e70a55f-5882-4863-9774-d9c4882f15ab"
