txt_nome_construtora_entidade
ISR CONSTRUCOES LTDA
AWM ENGENHARIA LTDA
COMERCIO ENGENHARIA LTDA
COMERCIO ENGENHARIA LTDA
CONSTRUTORA JOAO DE BARRO LTDA
CONSTRUTORA JOAO DE BARRO LTDA
CASAALTA CONSTRUCOES E EMPREENDIMENTO LTDA.
R.D.ENGENHARIA E COMERCIO LTDA.
R.D.ENGENHARIA E COMERCIO LTDA.
CASAALTA CONSTRUCOES E EMPREENDIMENTO LTDA.
CASAALTA CONSTRUCOES E EMPREENDIMENTO LTDA.
CASAALTA CONSTRUCOES E EMPREENDIMENTO LTDA.
R.D.ENGENHARIA E COMERCIO LTDA.
R.D.ENGENHARIA E COMERCIO LTDA.
TREVISO ENGENHARIA LTDA
CASAALTA CONSTRUCOES E EMPREENDIMENTO LTDA.
CASAALTA CONSTRUCOES E EMPREENDIMENTO LTDA.
CCM CONSTRUTORA CENTRO MINAS LTDA
DIMENSAO-CONST. E INCORP. LTDA
CONSTRUTORA E INCORPORADORA PARTHENON LTDA - ME
COMERCIO ENGENHARIA LTDA
CCM CONSTRUTORA CENTRO MINAS LTDA
COMERCIO ENGENHARIA LTDA
COMERCIO ENGENHARIA LTDA
CCM CONSTRUTORA CENTRO MINAS LTDA
RESECOM CONSTRUTORA LTDA
CCM CONSTRUTORA CENTRO MINAS LTDA
RESECOM CONSTRUTORA LTDA
CONSTRUTORA JOAO DE BARRO LTDA
STAFF CONSTRUCOES LTDA
CONSTRUTORA JOAO DE BARRO LTDA
CONSTRUTORA JOAO DE BARRO LTDA
PARALELLA ENGENHARIA LTDA EPP
CENTRO NORTE CONSTRUCOES LTDA
ENGEXATA ENGENHARIA LTDA
ENGEXATA ENGENHARIA LTDA
ENGEXATA ENGENHARIA LTDA
RESECOM CONSTRUTORA LTDA
RENOVO ENGENHARIA LTDA
CONSTRUTORA JOAO DE BARRO LTDA
CENTRO NORTE CONSTRUCOES LTDA
CENTRO NORTE CONSTRUCOES LTDA
RECEL TERRAPLANAGEM E CONSTRUCOES LTDA
CENTRO NORTE CONSTRUCOES LTDA
RENOVO ENGENHARIA LTDA
PARALELLA ENGENHARIA LTDA EPP
CENTRO NORTE CONSTRUCOES LTDA
DIRECIONAL ENGENHARIA S.A.
DIRECIONAL ENGENHARIA S.A.
VEX CONSTRUCOES E INCORPORACOES LTDA
DIRECIONAL ENGENHARIA S.A.
CONSORCIO MIRACEMA
CMT ENGENHARIA LTDA
CMT ENGENHARIA LTDA
CMT ENGENHARIA LTDA
SINTESE MORADIA E CONSTRUCOES LTDA
SINTESE MORADIA E CONSTRUCOES LTDA
"NV INDUSTRIA, COMERCIO E CONSTRUCAO LTDA"
ALBUQUERQUE ENGENHARIA LTDA
NÃO INFORMADO
SILTY CONSTRUCAO E COMERCIO LTDA
ADINN CONSTRUCAO E PAVIMENTACAO LTDA
OMEGA ENGENHARIA EIRELI
CIC CONSTRUCOES & COMERCIO LTDA
