txt_endereco
""
"LOTE 1, SUBDIVISAO DO LOTE 1 - QUADRAS DIVERSAS"
PARANAGUA
"ANTIGO PARQUE VAQUEJADA, QD. 01 A 18"
XEXEU
ESTRADA DO BOM BOM - VISEU/PA
RUA PROF JOAO PEREIRA DE GODOY S/S CORRUPIRA
RUA REPUBLICA DO EQUADOR ESQ RUA AMELIA LEUCHTEMBERG
LOTEAM MIRO CAIRO BAIRRO SENHORIA CAIRO
RUA ACRE QUADRAS 1242 E 1243
"RUA DA RESERVA 331, Q 104 L 048 - BAIRRO JAQUELINE"
"RUA SOA PEDRO, BAIRRO SUCUPIRA"
RUA SANTA MARIA 2272 - BAIRRO PROGRESSO
CAMPO GRANDE/MS
ESTRADA PARA MIGUEL CALMIN
ENTRE A RUA ALAOR DE SA ABREU E RUA ALVARO PEREIRA DA SILVA
"RUA A, LOTE 1, QUADRA I"
"RUA A, LOTE 1, QUADRA H"
"RUA A, LOTE 1, QUADRA G"
"EST MUN SABINA BAPTISTA DE CAMARGO,2981 JD NOVA EUROPA"
"RUA A, LOTE 1, QUADRA F"
"QUADRAS 05, 06, 07, 08 LOTES 01 A 50"
"AV VICENTE CATALANI, GLEBA 06B1 N 3400 BAIRRO DOS COCAIS"
EST DA JANGUARA 13 SAO JOSE DOS INDIOS
"RUA OURIZONA, 1240 - SITIO CERCADO"
BLUMENAU
RUA PEPERONIA (ANTIGA 56)QD 103 LT 02 SN ANCORA
"ALAMEDA A, BAIRRO INDEPEDENCIA, M.CLAROS/MG"
AV PROJETADA CANAL DA PONTE BRANCA
"RUA JOAO BATISTA PEREIRA, LOTE 1 QUADRA 135 D"
RUA ANA ANDRADE S/N VILA CASTELO BRANCO
RODOVIA CAMETA TUCURUI SN
AV DOS AUTONOMISTAS KM 18
LOTEAMENTO SANTO ANTONIO
LOTE 117/118 - (AV. VEREADOR ANTONIO BORTOLOTTO)
CHAPEU DO SOL
"RUA VISTA ALEGRE, N. 126 - BAIRRO PARQUE MARACANA"
SITIO BARRO BRANCO
"LOTEAMENTO MIRO CAIRO, S/N - SENHORIA CAIRO"
"EXTENSAO DA RUA GERONIMO M. LEITE, QD 93, 94 E 95."
"RUA SETE, 35"
"LOTEAMENTO NILSON SOELLA 02, BAIRRO CARLOS GERMANO NAUMANN"
BR 222 S/N - SAGRIMA
N
AV JUSCELINO KUBTSCHEK S N
AV MANOEL GADELHA S/N SEBASTIAO  BORGES
R ITALO ADAMI COM R PARANAVAI
AVENIDA ALDO BORGES LEAO
BR 407
"RUA ESPLANADA SILVA JARDIM, 56, RIBEIRA"
ARARIPINA
RUA CORONEL AFRO CAMPOS S/N BAIRRO CENTRO
ESTRADA JUREMA A URUCUTUBA SN GRANJAS GUAIRA
"RODOVIA BR 101, JAMBEIRO, SAO MATEUS"
"PASSAGEM JOANA DARC, S/N"
"FAZENDA FERRADAS, SN, FERRADAS"
AV DAS NACOES LT39F
"RUA 66, S/N, PARQUE RESIDENCIAL UMBU"
TRAVESSA SAO GERALDO (TEREZA DAVILA) S/N
RUA ABRAAO CAROLINO CARNEIRO
CHACARA 383
R JOSE GOMES AMADO
AVENIDA FRANCISCO SILVEIRA BITENCOURT
"RUA DEZENOVE, 50"
"RUA CONTORNO DOS POMARES, S/N, FORMIGA-MG"
"AV SABURO KAMEYAMA, BAIRRO CARAPIRANGA"
RUAS DIVERSAS DO JARDIM CAMPOS VERDES
RUA SANTA RITA ENTRE R JACUTINGA E R ENCONTRO
"ESTRADA EDUARDO DUARTE, 1450, BAIRRO SAO JOSE"
"RUA JOAO QUESSADA, S/N"
SHOPPING PARK V - GLEBA 09 (PARCIAL)
RUA PALMIRO BIM 435
"RUA JAU, RUA C, E OUTRAS, QDS 16, 17, 18, 23, 24 E 25"
"QUADRAS 75, 76 E 77"
"RUA DOMICIANO BORGES, S/N,CASSIA-MG"
BAIRRO ENSEADA
RUA SEIS COMPANHEIROS 331 BARRA DO CEARA
R JOSE DANTAS DE ALMEIDA S/N
PE07 KM 26
"CAMINHO FURADO, LOTE 1, PARCELAMENTO LOTE 22 DO PAL 3.553"
BELO JARDIM
"ESTRADA VELHA DO AEROPORTO, KM 10,5"
"AV PAULISTA, 1451"
"R CIRCULAR, 275, BAIRRO PE GABRIEL"
RUA BREJINHOS - TABELA
"AVENIDA JOAO PAULO I, 3215"
RUA JOSE LINO DA SILVEIRA 50 BAIRRO ZUMBI
LAGO AZUL
RUA DESEMBARGADOR JORGE SALOMAO RESIDENCIAL GIRASSOL
BEIJA FLOR
FAZENDA MONTE NEGRO
"RUA DAS AMOREIRAS,LOTE 41 DO PAL 13020 - CAMPO GRANDE - RJ"
RUA 14 BIS
RESIDENCIAL SAO FRANCISCO
RODOVIA RIO SANTOS BR -101
BR 316 QUADRA 18
"RUA DAS CANAS, MATA DO ROLO"
RUA MARSELHA S/N BAIRRO JARDIM PLANALTO II AGUAS LINDAS
"RUA PROGRESSO, 4100"
"RUA JULIO POZZA, ESQUINA COM RUA 490, S�O JOAO, TUBARAO/SC"
RUA SANTA ISABEL S/N
"RUA PAULO CESAR CHARIF, RUA 22 E RUA K - QUADRA 41 E 41A"
"RUA VALMIR HERMELINO MACHADO, 100"
RUA ALFREDO CALADO S/N
"RUA G, 205 - PAUPINA"
"RUA ECHEVERRIA 309,LOTE 01 QUADRA 10 - JARDIM ROTSEN"
VIA PUBLICA LOTE 1B JD TAMOIO  NR 301
RUA MALHADA DOS COQUEIROS
RUA LEMOS TORRES N 49 PARNAMIRIM
ZONHA URBANA
AV JOAO PAULO I LOTE 01
"ROD PALMIRO PAES DE BARROS, MT 040, N 900, CUIABA/MT"
"QD 54A LT 01 A 31, QD 54B LT 01 A 25, QD 54C LT 01 A 17"
"QUADRAS 21,22,23,26,27,28,29 E 30"
RUA 1 A 3 - SETOR ASAS DA ESPERANCA
RUA DO SITIO ARCARO
R DOS LUSIADAS ES R PEDRO ARRUTE
AV ANTONIO TRILHA 1703
AV GOV TARCISIO MAIA S/R - LOTEAMENTO STA TEREZINHA
SITIO LAGOA DOS PORCOS - IV DISTRITO
RUA 04 COM A RUA 05 CHACARAS 42/43
QUADRA 02 05 07 E 09 JD INDEPENDENCIA
"RUA D. GEORGINA SCHELL, ESQUINA COM A RUA PALMARES"
"RODOVIA  BA-415, ANEL RODOVIARIO - NOVA CALIFORNIA"
"ACESSO PELA ESTRADA MATO DENTRO, GLEBA B1-2"
"QUADRAS 05, 06, 07, 08"
RUA NEWTON BELO - OURO VERDE
RIA ALEXANDRE FIGUEIREDO S/N LOTE 13
AV NOVE DE JULHO
ESTRADA VICINAL IRMAOS BURANELO
AV PADRE PETRUS DINGENNOUTS - BAIRRO NOVO HORIZONTE
VILA CAFETERIRA
RUA REGINA PISSATO PACCOLA C/ RUA ARMANDO VERONEZI
RUA 8 ESQ RUA 36 - QD 14 - LOT STA IZABEL - PERUIBE/SP
ESTRADA CAMINHO DO MEIO 4250
RUA 01 S/N
RODOVIA ROSENDO RIBEIRO DE SOUZA
ROD. ENG. JOAQUIM GONCALVES
AV DO PROGRESSO S/N
PARQUE TREMENDAO
"RUA IGARAPE DO INDIO, Q37H L5"
RUA DOIS JD MONTE VERDE
"RUA JACUTINGA, 2030 COM AVENIDAS 68 JCA E 70 JCA"
"ALAMEDA DAS CORTICEIRAS, 120"
RESIDENCIAL CARVALHO
"ESTR JOAO ANTONIO DA SILVEIRA, 1300"
"LOTEAMENTO FONTE VERDE,S/N,LAVRAS"
"AVENID DAS PALMEIRAS, BOM DESPACHO"
AREA H DESMEMBRADA DO QUINHAO 2 FAZ COQUEIRO
PROLONGAMENTO DA RUA MAIRO BATAIOLA
"BR 316, KM 152, ZONA URBANA"
"ESTRADA BENTO PESTANA, S/N - NITEROI - RJ"
"RUA THEREZA LOPES SKROSKI, 761"
"RUA 7 DE SETEMBRO, QDS 65,66,67,68"
LOTEAMENTO CIDADE NOVA
VILA MARIANO
RUA JOSE CARLOS MARTINS
"RUA ARAXAS, S/N, GRANJA MINAS GERAIS"
RAMAL SEM DENOMINACAO E SEM NUMERO
R JULIA MATEUS TERRA SN
"RUA SAO SEBASTIAO E OUTRAS, SN"
"AV. ENG. IRINEU CARVALHO DE BRAGA, S/N"
ESTRADA PARA MIGUEL CALMON
"AV PROGRESSO,S/N"
RES. CANASTRA
"AVENIDA DOUTOR PAULO PETRIBU, S/N"
RUA CECILIA HAGER GINTER LT28 QUADRA C
LOT NASCENTE DO CAPIVARA. ESPACO ALPHA QUADRA 5C-2
AV SAO VICENTE DE PAULA NR 1161 ARATURI (RESID JLS IV)
AVENIDA ASA BRANCA S_N
RUA ELVIRA BOMBONATTO -CHACARA 32 A-1 PERIM A-FAZ BRITANIA
VILA VERDE II
ABAETETUBA
FERRADAS
LOTEAMENTO NOSSA PRATA
RUA GUARANI E OUTRAS
AV PROJETADA NORTE S/N BAIRRO GUAJUVIRAS
AV RAMAO CUENCAS BORREGO
RUA PRINCIPAL
GLEBA 29 QUADRA 30033
AV. GOVERNADOR LEONEL DE MOURA BRIZOLA
RUA CONEGO DE CASTRO S/N PARQUE PRESIDENTE VARGAS
AV PEDRO JOSE LAROCA
ESTRADA MUNICIPAL DOM JOSE ANTONIO DO COUTO
ESTRADA DA MATA ESCURA
"RUA JOAO JUSTINO ALVES, Q6 L1A22Q5 L1A26 Q4 L10E11"
"RUA ITALIA DINCAU, 1 DESM LT5 DO PAL34101"
TERRENOS URBANOS CONCENTRADOS
AV. ABILIO JOSE DE FREITAS
LOTES 01K E 10K QUADRA 91 RUA JOSE GOMES DA ROCHA LADO PAR
PRIMAVERA
RUA VICENTE SISTO S/N
AVENIDA TROPICAL S/N
RUA SANTA FE S/N BAIRRO OLARIA
FAZENDA SAO FRANCISCO
AV. OCTAVIO OSCAR BENDER S/N
RUA SAO PEDRO SN PORTO DO SURURU
"CHACARA VALENCIA, FUNDOS DO JARDIM CALIFORNIA."
"R RIO GRANDE DO NORTE, 30 - BAIRRO RESPLENDOR"
"ESTRADA DO CALUNDU, S/N LOTE 7, NOSSA SRA DO CARMO"
RUA MARIO DOS REIS PEREIRA GLEBA 01 (PARTE) JD COLINA VERDE
"RUA JOAQUIM MENDES, 30"
ESTRADA JACUTINGA PONTE PRETA S/N
"RUA QUARAI, 170"
"AVENIDA ALEXIOS JAFET, 253"
CORREGO ALEGRE
LOTEAMENTO RESIDENCIAL DO TRABALHADOR
RUA NANOAI
"AVENIDA BRASILI S/N, BAIRRO POVO NOVO AMOUR"
AV JUSCELINO KUBITSCHEK BAIRRO NOVO HORIZONTE
FAZENDA COPACABANA - RODOVIA BA-242 / BA-135
SERVIDAO G - S/NR BAIRRO JARDIM CIDADE DO ACO
RUA LINO DO AMARAL CARDINAL
"LOTEAMENTO POPULAR VALDOMIRO DORIGON QUADRAS N, O,"
RODOVIA DA INTEGRACAO S/N
AVENIDA CIDADE DE DEUS PAL 39378 QUADRA 187 LOTE 7
ANTENOR RAUEN
"RUA AGOSTINHO NUNES DE MELLO, 951 - CENTRO"
RUA 7 - JD ITAMARATI III
PE 097 KM 04 - ZONA URBANA
"AVENIDA GIOCONDO MATURI, BAIRRO JARDIM MARIA CELINA"
RUA MAR VERMELHO E OUTRAS
"LOTEAMENTO SANTA REGINA, QUADRAS A, B, C, D, E ,F"
AV. DOUTOR HERMENITO DOURADO
"RUA JOSE CILUZZO, S/N"
PR 487
EST ITAPIRANGA MADRUBA SN
LOTEAMENTO PEDRA LINDA
LOTEAMENTO CUNHAPOLIS
RUA ADIR MASCIA S/N
"AV RUTH GARRIDO ROQUE N�600 QD A, N�1014 QD C, N�730 QD A"
ESTRADA DO ARENOSO 250
R JOAO MARTINS DA SILVA S/N
RUA PROFESSOR JOAO RODRIGUES 095
AV BENEDITO DE TOLEDO SN VILA BRASIL
"ROD PALMIRO PAES DE BARROS, MT040 N 900, CUIABA/MT"
BOCA DA MATA
"RUA VOLTA REDONDA, 125 C/RUA SIMONESIO L 01 A 23 Q 93"
RUA NELSON FORMIGHERI
VARIAS RUAS
ESTRADA DO MARACACUERA KM 4
SITIO VISTA ALEGRE
"AB. TANCREDO NEVES, ESQUINA COM AV. AEROPORTO"
SANTA MARIA DA VITORIA
AV OITO DE MAIO QUADRAS 4/5/11/12/13/18/19 AGUA CLARA
RUA MAXIMINO DOMINGUEZ GRACIO ENTRE AV SEN AZEVEDO JR E ALEX
"R MINAS GERAIS, 2334"
BAIRRO ALTO RUA 08 QDS 11 E 16
FAZENDA CHATO SN
"AV ABILIO AUGUSTO TAVORA, 11007"
ESTRADA MUNICIPAL
RUA MEXICO
QUIRINOPOLIS/GO.
AV CRISTAL ESQ AV EZEQUIEL
ESTRADA SABRINA S/N
"ESTRADA DO CONTORNO, S/N"
CORREGO DA AGUA VERMELHA BAIRRO CASTELINHO
R.DA-12-10 QD-227LT-RES DIOCLECIO ARTUZZI PQ IND CRISTALINO
RUA F CHACARA 64 - PARQUE TREMENDAO
"RUA 02, 77 - LOTE 05"
"RUA GRAMADO, 10"
AV FUNDIBEM 935
"RUA ANGATUBA, S/N"
"ESTRADA JORGE PEREIRA NUNES, 1300 - ABERTA DOS MORROS"
RUA GONCALO CANDIDO 659 BAIRRO NOVO MARANGUAPE
"RUA GERALDO BIANCHINI, 59 - BAIRRO JARDIM ATALAIA"
QUADRA 18
RODOVIA MUNICIPAL URA 361
ESTRADA DO ENGENHO BARRO BRANCO
"RUA MOCAMBI, 240 - BAIRRO VIRIATO"
RUA ASSUNTA DAL PONTE FUZINATTO BAIRRO PAIOL GRANDE
PLANALTINA GOIAS
"RUA 6A. LINHA COM A RUA LARANJEIRA, RES. HELENA COUTINHO"
ESTRADA DO CAMINHO VELHO 336
RUA FCA NOGUEIRA RAMOS NR 500 BAIRRO PABUSSU
BAIRO TESO DURO
RUA DOS IPES S/N
"LINHA 08, LOTE 83-B5 LOTEAMENTO RES. PAINEIRAS S/N"
"AV FLAMBOYANT E OUTROS, SETOR BELA VISTA, FORMOSA/GO"
AVENIDA MARCILIO DIAS
RUA DOIS DE JULHO
RUA FREI ANTONIO FAGGIANO X RUA FRANCESCO CELEGARI
"LOTES N 107 E 108 (UNIFICACAO LOTES 107, 108A, 108B E 108C)"
"RUA ATAIDE RIOS SOBRINHO, 331 QD.25"
MCMV - MUNICIPIO DE JOSE DE FREITAS
"RUA MONTE GILBOA, SN - VILA DOS MONTES"
RIO CLARO
"RUA THEOBALDO GUILHERME LANZ, S/N, BAIRRO INVERNADA"
"RUA 29, 30 , M E N -QUADRA 27"
"RUA DR. MARIO NEGOCIO, 4100 - GLEBA A BAIRRO NOVA ESPERANCA"
RUA A BAIRRO 20 DE ABRIL
"RUA AMOR DE INDIO,102"
BAIRROS JARDIM DOS ESTADOS E POPULAR NOVA
MA 201 - S/N
ESTRADA DO MARACACUERA KM 4 E 5
"RUA SANTA MARIA, 2311 -  BAIRRO PROGRESSO"
VENDA DA CRUZ
RUA PIO X
JARDIM IMPERADOR
RUA JOAO BATISTA FERRAZ SAMPAIO 1271
AV ALDO BORGES LEAO
"BR 222, AV JOAO PAULO II BAIRRO VILA DAVI"
"AV. CORIFEU AZEVEDO MARQUES, S/N"
"RUA SEIS,SEM N�MERO - BAIRRO ESPERAN�A"
"RS 040, KM 18"
R ERNESTO T M/AV ADEMAR V F/AL ZULEICA C R/R M RITA
LOTEAMENTO BELA VISTA MODULO II
URBANIZACAO SACRAMENTO
BR 316 S/N
ACESSO RUA L - BAIRRO VILLAGE DO LAGO 1 E 2
RUA 1 S/N QUADRA IIA LOTEAMENTO JUNCAO
"RUA PIONEIRA LUCIA PAIOLE, AV BRASIL, RUA URUGUAI, RUA CHILE"
RUAS DIVERSAS
"QUADRAS: 71, 72, 73, 74, 78, 81 E 82"
RUA ITABERAI SN PAPAGAIO
"AV BENTO GUELFI,1800"
FAZENDO RIO DO PEIXE - AVENIDA LUCELIA
"AV MOCAMBI, NR 200 - BAIRRO SAO CRISTOVAO"
GLEBA REMANESCENTE 8A
"RUA PROJETADA SDO, QUADRAS A, B, C, D, E"
RUA THEREZA LOPES SKROSKI 141
"SITIO CORINGA, PROX A BR 101"
QUADRA A E B BAIRRO SAO FRANCISCO
LOTEAMENTO NOVA CIDADE
RUA DORIVAL ROSA DO NASCIMENTO
RUA TEIXEIRA CAMPOS
"RUA DO CONTORNO, 1.130 QUADRA 23 LOTES 01-39"
RUA PADRE CAMILO TORREND
AV OTTILIA FERRAZ DE CAMARGO N�726 LOTE 02/02
"RUA MARIA CELINA BIN ROSA QDRA 5, LOTE DE 1 A 24"
ESTRADA VICINAL
LOTEAMENTO JOAO CARLOS 4 ETAPA B. BOA VISTA
AVENIDA PROFESSOR ARY LEVY PEREIRA
QUEIMADAS
RUA 3 S/N Q-1A
"RUA FRITZ KIEWER, BAIRRO ALTO DA VILA ROSA"
"RUA FRANCISCO DE OLIVEIRA, 136"
"RUA 2, QUADRA C"
"RUA DR BARROS CASSAL, 161"
RUA CHICO MENDES -SN - PARANAGUA
RUA MATHIAS BORNHOFEN - LOTE 02 - PASSO MANSO
PROLONGAMENTO DA AV. ALESSIO MAZER - RUA 2
"EST. DE PACO DO LUMIAR, SN PICARREIRA"
RUA FRANCISCA FAUTINO N 1083 BAIRRO CENTRO
"RUA PARANAGUAMIRIM,171"
"RODOVIA MANOEL URBANO KM 82, AM 070"
"RODOVIA JO�O BRASIL DE AZEVEDO, KM 4,1"
"ESTRADA DE COROATA S/N, PAU DE ESTOPA, PIRAPEMA"
"ESTRADA DE COROATA S/N PAU DE ESTOPA, PIRAPEMA"
BR 262 - BAIRRO MORUMBI - UBERABA MG
"RUA PERNAMBUCO, 153. - BAIRRO RESPLENDOR"
LOT ALPHA
BAIRRO SANTA CANDIDA
"RUA AVIADORA ANESIA PINHEIRO MACHADO, S/N QD 5 LT 1"
"RUA SARGENTO MOR RAIMUNDO G DA COSTA, JOAQ MASCARENHAS"
AV FLAVIO M DA SILVA QD1 LT1-10 QD13 LT1-20 QD14 LT1-20
AV JOAO GOMES DA CONCEICAO FDA CERVINHO
"AV PIQUIRI QDS 4H, 4I E 4J"
GLEBA FAZENDINHA - BAIRRO CANOEIRO
"BR-101 S_N, LADO DA ESCOLA DE IMBIRA"
R NEWTON BELO - OURO VERDE
"RUA JACOB SCHMIDT, 777 - BAIRRO CEDRINHO"
"RUA CACHOEIRA DO CAMPO, LOTEAMETO NATHALIA - JD CAIOBA"
RUA JOAQUIM MEDEIROS S/N BAIRRO NOSSA SENHORA DAS GRACAS
RUA ALBERTO TORRES SN
"RUA 861, N. 31 - BAIRRO DIAMANTE"
RUA CLAUDIO COUTINHO LOTE J3 LOS ANGELES
"RUA RIO BRANCO, BAIRRO JARDIM LIBERDADE"
RODOVIA RN 160 -TRIGUEIROS- SAO GONCALO
QUADRA 31 DO BAIRRO VITORIA E QUADRAS 3-F E 3-G DO AGUA AZUL
RUA EUTIQUIO DE LIMA
