qtd_uh_distratadas
44
45
46
47
48
49
192
1184
150
312
50
51
96
52
10
54
11
55
56
12
13
57
14
58
59
15
16
17
18
19
280
283
0
320
1029
1
200
2
1500
3
400
4
126
5
6
7
404
8
9
60
208
20
21
22
23
24
25
26
27
28
29
250
297
495
176
336
457
139
30
31
32
33
34
35
36
37
38
39
144
540
100
300
424
80
40
508
41
949
42
43
