txt_nome_construtora_entidade
""
ASSOCIACAO HUMILDES TRAB RUR QUILOMB POVOADO BARREIRA FUNDA
ASSOCIACAO QUILOMBOLA DO SITIO FLORES
ASSOCIACAO DOS AGRICULTORES FAMILIARES DO ASSENTAMENTO SANTA
KUBO ENGENHARIA E EMPREENDIMENTOS LTDA
ASSOCIACAO INDIGENA RIO GRANDENSE
ASSOCIACAO COMUNITARIA DOS MORADORES DO POVOADO PACOTI
PRODUCAO ENGENHARIA LTDA
"CRUPO ASSOC DE LUTA PELA HAB,PESCA E AGRICULT FAMILIAR/PARA"
ASSOCIACAO COMUNITARIA DOS MORADORES DA VILA NOVA
ORGANIZACOES CIDADANIA EM ACAO - OCA
MULTIPLA COM DE MATERIAIS CONSTRUCAO E SERVICOS DE ENG LTDA
MONTEIRO LOBATO  CONSTRUTORA - SPE LTDA
ASSOCIACAO DE MORADORES DA LOCALIDADE BOM LUGAR
ASSOCIACAO DOS PRODUTORES RURAIS DO POVOADO TABOCAS PENALVA
AAFABS- ASS AGRICULTORES FAMILIARESDO SETOR BARRA SERTAO
ASSOCIACAO COMUNITARIA DO ASSENTAMENTO NOVA LAGES
SINDICATO TRABALHADORES RURAIS DE PINHEIRINHO DO VALE
MUNICIPIO DE SAO GERALDO DO ARAGUAIA - PA
NÃO INFORMADO
CONSTRUTORA RIO DOCE LTDA
ASSOC DE DESENV COMUNITARIO DE OLHO DAGUA GRANDE
CONENBRAS CONSTRUTORA DE OBRAS LTDA
ASSOCIAÇÃO DOS TRAB. E TRAB. RURAIS QUILOMBOLA FIRMI
MUNICIPIO DE PORTO RICO - PR
ASSOCIACAO DOS PRODUTORES RURAIS DE FAZENDA NOVA E REGIAO
TREVIPLAM ENGENHARIA LTDA
BROOKFIELD MB EMPREENDIMENTOS IMOBILIARIOS S.A.
CONSTRUTORA ITAJAI LTDA.
ASSOCIACAO DE  REMANESCNTE DE QUILOMBOS BAILIQUE CENTRO
MUNICIPIO DE LAJEADO DO BUGRE - RS
INSTITUTO DE APOIO COMUNITARIO
ASS COMUNITÁRIA DOS PRODUTORES RURAIS DO POVOADO FUMAÇA
CONSTRUTORA CRONACON LTDA
ASSOCIACAO DOS ARTESAOS E PRODUTORES RURAIS DE ACAIACA - AAP
FLOR DA SERRA DO SUL SINDICATO DOS TRABALHADORES RURAIS
FORUM DE CORTICOS E SEM TETOS DE SAO PAULO
SINDICATO TRABALH E TRABALHADORAS RURAIS DE RICHAO DO POCO
SINDICATO DOS TRABALHADORES RURAIS DE MUNDO NOVO
ASSOCIACAO DE PAIS E MESTRES INDIGENA KRIKATI
IRMAOS KUNST & CIA LTDA
LC BRAGA CONSULTORIA E ENGENHARIA LTDA
COOPERATIVA AGRICOLA DA REGIAO DE PLANALTINA-COOTAQUARA
0
ASSOCIACAO DOS TRABALHADORES RURAIS DA SALVACAO
ASSOCIACAO FILANTROPICA SANTA CLARA DE VILA ROSINA
ASSOCIACAO COMUNITARIA DA SERRA MAE DE DEUS
ECOVITA INOCORPORADORA E CONSTRUTORA LTDA
L MARQUEZZO CONSTRUCOES E EMPREENDIMENTOS LTDA
ASSOCIAÇÃO DIAS MULHERES DO POVOADO BOA ESPERANÇA
"MELO CONSULTORIA, CONSTRUCAO E COMERCIO LTDA-ME"
G P ENGENHARIA LTDA
ASS MOR PROD RURAIS COM QUILOMBOLA SANTA RITA DAS BARREIRAS
